Figs,Fruit,figs,"A fresh, properly ripe fig is a thing of great beauty. To grow figs successfully outdoors in the UK, it's important to choose a hardy cultivar and plant it against a sunny wall. In colder areas figs require winter protection; luckily they grow well in containers which is ideal where space is limited. These spend the summer outdoors and are overwintered in a cool, frost-free place. Even a single plant provides a successful crop.",2,3,2,34/79
Horseradish,Herb,horseradish,"A chief ingredient of a fiery sauce that is traditionally used as an accompaniment to roast beef or grated into coleslaw, horseradish is a vigorous, hardy perennial that forms a mass of leafy growth, but is primarily raised for its pungent roots. Plants can become invasive and difficult to eradicate when grown in the group - best keep under control by growing in pots or raised beds filled with rich, well-drained soil.",1,3,1,34/ab
Okra,Vegetable,okra,"Okra (also known as lady's fingers and bhindi) is best grown under glass; it is only successful outdoors in temperate climates in a sheltered position, during hot summers. It enjoys the same growing conditions as cucumber and melons. The edible calcium-rich pods are used in soups, stews and curries - avoid over-cooking or they become slimy.",1,3,2,56/789a
Olives,Fruit,olives,"Olives are drought-tolerant evergreen trees with shimmering silvery foliage that love to bask in a warm, sunny and sheltered position. They will add an instant touch of the Mediterranean and may sometimes in hot summers and southern gardens, reward you with a heavy crop of an attractive-looking fruit that need special preparation to make them edible.",2,3,2,345/9a
Peas,Vegetable,peas,There's nothing like the flavour of freshly picked peas. Use them as quickly as possible once picked as they lose their sweetness. Dwarf varieties of peas don't need much in the way of support. The easiest types to grow are mangetout and sugar snap varieties.,3,4,2,23456/6789a
Plums,Fruit,plums,"Plums, are a really reliable fruit and reward the gardener with a good harvest of delicious plump fruit for eating straight from the tree or making into jams, pies and crumbles. Nowadays there are varieties available that don't take up a lot of space so even the smallest gardens can have a plum tree.",3,1,2,123bc/89
Sage,Herb,sage,"Famed as part of a double act alongside onion in the famous sage and onion stuffing, sage is a strongly-scented herb that can be used to flavour many vegetable or meat dishes. Fresh or dried leaves are used to make teas. Sage loves a warm, sunny and sheltered spot - and is attractive enough to be grown alongside other ornamental plants.",1,3,1,345/56789a
Strawberries,Fruit,strawberries,"Strawberries are incredibly easy to grow. Strawberry plants can be grown almost anywhere - in borders, containers or hanging baskets. And of course the fruit is extremely popular - home-grown strawberries taste delicious and are great value too!",1,3,2,349a/6789
Tarragon,Herb,tarragon,"The strongly aromatic, slightly aniseed flavoured leaves of perennial tarragon are ideal chopped and added to salads, fish, egg and chicken dishes. The leaves can be used to infuse white win vinegar and it is an essential flavouring a buttery bearnaise sauce. There are two main types of tarragon; French tarragon, which is strongly flavoured and preferred by foodies; and Russian tarragon, which has an inferior flavour.",1,4,1,45678/56789
Turnip,Vegetable,turnip,"Turnips grow best in cool, moisture retentive soils and should be kept well watered before the onset of dry weather to stop them running to seed. Sow early varieties little and often for a constant hardest from spring until autumn. They mature in 6-10 weeks so may also be used as a catch crop or intercropped.",1,1,1,45678/3456789abc
